1;popana;1;2021-02-11T13:19:06.718678
2;anamaria;1;2021-02-13T16:36:15.935563500
3;popana;1;2021-02-13T16:41:14.144999200
4;popana;1;2021-02-13T17:55:49.637359100
5;popana;1;2021-02-17T19:51:04.620393200
6;popana;1;2021-02-17T19:53:00.079467400
7;popana;1;2021-02-17T19:53:03.865347700
8;popana;1;2021-02-17T19:53:04.932505500
9;popana;1;2021-02-17T19:55:40.939005400
10;anamaria;1;2021-02-17T20:02:48.452368400
11;anamaria;1;2021-02-17T20:07:32.515950700
12;popana;1;2021-02-17T20:10:33.442168800
13;popana;1;2021-02-17T20:21:59.404611700
14;popana;1;2021-02-17T20:22:11.294973600
15;anamaria;3;2021-02-17T23:48:41.429117700
16;anamaria;3;2021-02-17T23:49:40.968420
17;anamaria;3;2021-02-17T23:56:27.005903900
18;anamaria;1;2021-02-17T23:56:42.050265500
19;anamaria;3;2021-02-17T23:56:42.918874
20;anamaria;1;2021-02-17T23:56:44.038569600
21;anamaria;3;2021-02-17T23:56:44.677920200
22;anamaria;1;2021-02-17T23:56:47.216704500
23;anamaria;3;2021-02-17T23:56:49.412197
24;anamaria;3;2021-02-17T23:57:04.789093
25;anamaria;3;2021-02-17T23:57:08.146299300
26;anamaria;3;2021-02-17T23:57:08.201485800
